"name", "gender", "age", "zipcode"
victorine Orner,female,74,1066
Jean-Baptiste Kronenberg,male,36,1073
Sophie Kleiner,female,34,1052
Oceane Palley,female,75,1169
adam Heitz,male,24,1073
Lukas Pfister,male,26,1169
Ismael Mosman,male,48,1115
Denis Gsell,male,56,1070
ugo Odermatt,male,60,1015
olivia Honsberger,female,72,1147
Fabienne Mettler,female,60,1070
angelo tori Haag,male,78,1197
Florian Haberle,male,66,1070
Alice Guidroz,female,39,1110
Alex Luthy,male,76,1135
Michaela Orell,female,31,1066
Lea Kerlin,female,43,1162
Hugo Grether,male,74,1073
Catherine Karrer,female,54,1066
Joey Heglin,male,47,1197
Julia Neyer,female,55,1095
Kelly Haby,female,46,1169
salomon Franchi,male,35,1169
Camille Lauper,female,69,1182
David Obrecht,male,32,1052
salome Lobsinger,female,43,1073
Alex Rais,male,26,1135
Adem Haberle,male,24,1147
Nana Habegger,female,23,1070
Fabienne Kim,female,41,1066
Boris Kehrli,male,49,1170
laetitia Montavon,female,62,1170
salomon Peachey,male,65,1182
Jennifer Kronenberg,female,20,1197
Soner Hurliman,male,26,1110
Patricia Ingold,female,77,1000
Audrey Hefti,female,34,1073
Soner Herda,male,29,1028
Tiffany Landenberger,female,40,1000
Soo Bin Kundert,male,34,1000
Romain Liechti,male,55,1015
Theo Niederhauser,male,31,1197
Christine Merkel,female,67,1032
Christina Kennel,female,25,1197
Hugo Hegg,male,36,1066
Leila Isely,female,51,1162
Lena Oberle,female,21,1095
victorine Niederhauser,female,44,1110
Colin Mosman,male,63,1182
Joey Matty,male,79,1028
Chris Jacky,male,52,1110
Lukas Hochstrasser,male,76,1162
Oceane Kohli,female,39,1170
Julie Hauenstein,female,22,1162
Zoe Grieder,female,42,1110
Roland Rais,male,22,1066
Sofia Montandon,female,79,1028
Audrey Lobsinger,female,36,1182
Fiona Koelliker,female,61,1052
Anais Kienast,female,58,1052
Lukas Guman,male,76,1170
Luzern Grasser,male,25,1147
Emma Jacky,female,58,1000
Luca Leupp,male,53,1040
Lara Orell,female,72,1095
Philipp Gubser,male,37,1052
salomon Kuser,male,54,1170
Virginie Hedinger,female,34,1028
Florian Gubser,male,22,1015
Delphine Jacky,female,33,1040
Lucas Hoffstetter,male,70,1040
yohan Grosjean,male,69,1028
Sara Kingery,female,36,1066
Leane Oesch,female,65,1162
Tamara Gurtner,male,67,1032
Filander Kadis,male,51,1052
Roxane Morand,female,31,1115
Selam Neeser,male,73,1070
Sabrina Lanter,female,73,1015
Sofia Nuessle,female,20,1110
Kevin Leupp,male,65,1032
Lina Loewy,female,26,1132
Theo Kaegi,male,58,1000
Natacha Krummen,female,65,1073
Samantha Loewy,female,55,1135
William/Guillaume Luthi,male,20,1169
Andrea Gsell,female,63,1182
Denis Notter,male,29,1170
Mathias Rais,male,34,1147
Jasmin Karrer,female,53,1135
Aline Henault,female,68,1032
Soo Bin Nestle,male,51,1110
Kafka Loerch,male,68,1095
Lisa Kensinger,female,26,1162
Sofia Musselman,female,47,1169
Catherine Hertenstein,female,30,1095
Tiffany Maggi,female,72,1147
Celine Kyburz,female,65,1040
Ramy Pfenninger,male,42,1147
Noemie Henault,female,26,1032
Chet Graesser,male,44,1115
Eva Harkleroad,female,53,1162
Joey Haag,male,43,1052
Luisa Hane,female,75,1052
Jessica Grossen,female,44,1032
Emma Jacklin,female,58,1052
Fonzi Oesch,male,60,1197
Amy Kumm,female,45,1169
Jade Gremminger,female,20,1110
Alexandra Kaser,female,31,1070
Gabriel Montandon,male,55,1073
Caroline Karlen,female,59,1073
Max Muri,male,41,1095
Christine Lichty,female,39,1070
Alexia Obert,female,79,1132
Hero from the Sands Mylin,male,38,1073
Marco Pappan,male,45,1052
Karim Hedinger,male,54,1110
Romain Imboden,male,48,1052
Carina Maggi,female,43,1182
Nadine Guell,female,73,1095
Maelle Hefti,female,55,1197
Chloe Niederberger,female,42,1000
Fabrice Mylin,male,34,1073
Luzern Kiener,male,33,1070
Matthias Kubly,male,20,1040
Florian Muhr,male,58,1147
Jasmin Ladnier,female,43,1132
Bernhard Obrist,male,55,1073
Oceane Kreutzer,female,47,1170
Joao Henggeler,male,63,1110
Zoe Raber,female,52,1135
Adrien Gotti,male,71,1132
Michaela Moix,female,58,1028
Philippe Haab,male,26,1135
Charlotte Hopler,female,78,1000
Maelle Hertenstein,female,25,1052
Florian Greninger,male,31,1170
Alice Grunwald,female,73,1000
Bastien Niederhauser,male,57,1073
Camille Liechty,female,34,1170
Yonathan Naff,male,50,1197
Caroline Gray,female,23,1182
Lina Liechty,female,43,1052
Ryan Inabinet,male,70,1182
Adrien Grether,male,37,1182
Emilie Gremminger,female,44,1182
Christine Kienast,female,32,1169
Malika Gschwind,female,72,1115
Patrik Miller,male,32,1040
Jessica Mylin,female,79,1000
Kathleen Kingery,female,61,1132
Tania Kuechler,female,39,1070
Anna Krieger,female,53,1052
Julien Kadis,male,79,1070
Pierre-Yves Hochstetler,male,25,1000
Laura Raisch,female,74,1110
yohan Nuessle,male,77,1040
Jens Letsch,male,40,1162
Ivan Jenny,male,58,1032
Florian Notter,male,78,1040
Carina Hane,female,27,1162
Fanny Pfister,female,59,1182
Marc Neidhart,male,53,1073
Selina Loerch,female,70,1110
Christina Loerch,female,21,1115
Marco Iseli,male,77,1052
Selam Gurtner,male,34,1066
Marie Naff,female,56,1073
Alexandra Kensinger,female,41,1115
Michelle Klausman,female,44,1135
Alexia Guell,female,43,1073
Alexia Klausman,female,27,1169
Celine Montavon,female,30,1070
Tim Rais,male,76,1066
Filander Liechty,male,74,1000
Selina Guell,female,35,1182
chopy Lichty,male,24,1115
Suzanne Herda,female,38,1073
Leane Hiestand,female,61,1066
Alex Habegger,male,20,1182
Kathleen Kennel,female,60,1052
Anna Muhleman,female,59,1135
Ana Gray,female,38,1132
oupix Mettler,male,31,1052
Christine Grumbach,female,46,1000
Jerome Kueny,male,51,1162
Ivan Grosjean,male,30,1132
victorine Harkrader,female,33,1170
Sarah Gump,female,69,1052
Jerome Kadis,male,21,1015
Hugo Lauper,male,44,1028
Jerome Knecht,male,70,1182
THOMSON Kundert,male,67,1182
victorine Kueny,female,59,1073
Lorenzo Krummen,male,31,1182
Joey Gutmann,male,32,1182
